question;answer;tag
Where can I follow NIT Jamshedpur on Facebook;You can follow NIT Jamshedpur on their official Facebook page facebook.com/NITJamshedpurOfficial;Facebook
Does NIT Jamshedpur have a Facebook presence;Yes NIT Jamshedpur has an official Facebook page for updates and announcements;Facebook
How can I get updates from NIT Jamshedpur on Facebook;You can get updates from NIT Jamshedpur by following their official Facebook page facebook.com/NITJamshedpurOfficial;Facebook
Is there a Facebook page for NIT Jamshedpur;Yes there is an official Facebook page for NIT Jamshedpur at facebook.com/NITJamshedpurOfficial;Facebook
What is NIT Jamshedpur's official X handle;The official X handle of NIT Jamshedpur is x.com/jamshedpur_nit;Twitter
Where can I find NIT Jamshedpur on X;You can find NIT Jamshedpur on X by visiting their official handle x.com/jamshedpur_nit;Twitter
Does NIT Jamshedpur have an X account;Yes NIT Jamshedpur has an official account on X for updates and news;Twitter
How can I follow NIT Jamshedpur on X;You can follow NIT Jamshedpur on X by visiting their official handle x.com/jamshedpur_nit;Twitter
Is NIT Jamshedpur active on X;Yes NIT Jamshedpur is active on X sharing updates and announcements;Twitter
What is the official Instagram handle of NIT Jamshedpur;The official Instagram handle of NIT Jamshedpur is instagram.com/nitjsrofficial;Instagram
Where can I view NIT Jamshedpur's photos and videos;You can view NIT Jamshedpur's photos and videos on their official Instagram handle instagram.com/nitjsrofficial;Instagram
Does NIT Jamshedpur have an Instagram account;Yes NIT Jamshedpur has an official Instagram account for sharing campus life moments;Instagram
How can I follow NIT Jamshedpur on Instagram;You can follow NIT Jamshedpur on Instagram by visiting their official handle instagram.com/nitjsrofficial;Instagram
Is NIT Jamshedpur's Instagram account public;Yes NIT Jamshedpur's Instagram account is public for everyone to view and follow;Instagram
How can I apply online for the post of registrar;You can apply online for the post of registrar through the official NIT Jamshedpur website nitjsr.ac.in;Administration
Where can I find information about non teaching positions 2025;Information about non teaching positions 2025 and the objection management portal is available on nitjsr.ac.in;Administration
How do I access the answer key for non teaching positions 2025;The answer key for non teaching positions 2025 can be accessed through the objection management portal on nitjsr.ac.in;Examinations
Where can I find NIRF submitted data;NIRF submitted data of NIT Jamshedpur is available on the official website nitjsr.ac.in;Website
Where can I see the list of events for 2024;The list of events for 2024 at NIT Jamshedpur is available on the official website nitjsr.ac.in;Events
How can I study in India through NIT Jamshedpur;You can find details for studying in India at NIT Jamshedpur on their official website nitjsr.ac.in;Admissions
Where can I get admission information for 2025 26;Admission information for 2025 26 at NIT Jamshedpur is available on nitjsr.ac.in;Admissions
What is the vision of NIT Jamshedpur;The vision of NIT Jamshedpur is to be one of the premier technical institutions for academic excellence and innovative research to meet the future needs of society;Vision
What is the mission of NIT Jamshedpur;The mission of NIT Jamshedpur is to build a conducive environment for learning and creativity train students to become technically competent professionals and socially responsible citizens and develop innovative products and technologies for the betterment of society;Mission
How does NIT Jamshedpur support learning and creativity;NIT Jamshedpur supports learning and creativity by providing a conducive environment and resources for students to explore and innovate;Mission
What kind of professionals does NIT Jamshedpur aim to train;NIT Jamshedpur aims to train students to become technically competent professionals and socially responsible citizens;Mission
How does NIT Jamshedpur contribute to society;NIT Jamshedpur contributes to society by developing innovative products and technologies for the betterment of society;Mission
What is the focus of NIT Jamshedpur for academic excellence;NIT Jamshedpur focuses on providing quality education and research opportunities to achieve academic excellence;Vision
Why is innovation important at NIT Jamshedpur;Innovation is important at NIT Jamshedpur to develop new technologies and solutions that address societal needs;Mission
What is the address of NIT Jamshedpur;The address of NIT Jamshedpur is Adityapur Jamshedpur Jharkhand 831014;Campus
Where is NIT Jamshedpur located;NIT Jamshedpur is located in Adityapur Jamshedpur Jharkhand 831014;Campus
What is the postal code of NIT Jamshedpur;The postal code of NIT Jamshedpur is 831014;Campus
How many visitors has NIT Jamshedpur recorded;NIT Jamshedpur has recorded 7651924 visitors;Campus
Can I visit NIT Jamshedpur;Yes visitors can visit NIT Jamshedpur at its campus in Adityapur Jamshedpur Jharkhand 831014;Campus
Where can I find NIT Jamshedpur on the map;NIT Jamshedpur can be found at Adityapur Jamshedpur Jharkhand 831014;Campus
When was NIT Jamshedpur established;NIT Jamshedpur was established on 15th August 1960;History
What was NIT Jamshedpur earlier known as;NIT Jamshedpur was earlier known as Regional Institute of Technology RIT;History
Who laid the foundation stone of RIT Jamshedpur;The foundation stone of RIT Jamshedpur was laid by Dr Srikrishna Sinha the then Chief Minister of Bihar;History
When was RIT Jamshedpur converted to NIT Jamshedpur;RIT Jamshedpur was converted to NIT Jamshedpur on 27th December 2002;History
When did NIT Jamshedpur get the status of Institute of National Importance;NIT Jamshedpur was given the status of Institute of National Importance on 15th August 2007;History
How many departments are there in NIT Jamshedpur;NIT Jamshedpur has 11 departments including engineering science and humanities;Academics
How many faculty and students are there at NIT Jamshedpur;NIT Jamshedpur has 200 faculty and 4000 students;Academics
How many administrative staff are there at NIT Jamshedpur;NIT Jamshedpur has 150 administrative and supporting staff;Campus
Where is NIT Jamshedpur located;NIT Jamshedpur is located in Adityapur Jamshedpur Jharkhand;Campus
What is the size of NIT Jamshedpur campus;NIT Jamshedpur campus covers 3413 acres of land;Campus
What type of natural environment surrounds NIT Jamshedpur;NIT Jamshedpur campus is surrounded by forests hills and a flowing river making it ideal for learning;Campus
Which facilities are available in NIT Jamshedpur hostels;NIT Jamshedpur hostels provide accommodation mess internet and recreational facilities;Hostel
How many boys and girls hostels are there at NIT Jamshedpur;NIT Jamshedpur has 7 boys hostels and 6 girls hostels;Hostel
Are there new hostels under construction at NIT Jamshedpur;Yes there are 2 hostels under construction at NIT Jamshedpur;Hostel
What other campus facilities are available at NIT Jamshedpur;NIT Jamshedpur has staff quarters guest house students gymkhana post office bank ATMs central store and dispensary;Campus
What kind of sports facilities does NIT Jamshedpur offer;NIT Jamshedpur has courts for basketball volleyball badminton tennis and grounds for cricket hockey and football;Sports
How is the campus connected for internet access;NIT Jamshedpur hostels and departments are connected with high speed wireless LAN;IT
What undergraduate courses were offered initially at RIT Jamshedpur;RIT Jamshedpur initially offered Civil Electrical Mechanical and Metallurgy engineering courses;Academics
What higher studies programs are available at NIT Jamshedpur;NIT Jamshedpur offers MTech PhD Non Formal BSc Engineering Programme and MCA programmes;Academics
Who was the first Principal of RIT Jamshedpur;The first Principal of RIT Jamshedpur was Dr R P Verma;History
Who was the first Chairman of RIT Jamshedpur;The first Chairman of RIT Jamshedpur was Dr Srikrishna Sinha;History
How does NIT Jamshedpur combine natural beauty with urban advantages;NIT Jamshedpur campus combines forests hills rivers with proximity to industrial areas;Campus
Which industries are near NIT Jamshedpur;NIT Jamshedpur is surrounded by industries like Tata Steel Telco Indian Steel Wire Products Tata Tubes Tinplate Company and Tata Timken;Campus
Which reputed institutes are near NIT Jamshedpur;NIT Jamshedpur is near National Metallurgical Laboratory XLRI and National Institute of Foundry and Forge Technology Ranchi;Campus
How has NIT Jamshedpur performed in placements;NIT Jamshedpur has achieved impressive placements with top industrial houses and software companies recruiting students;Placements
What makes NIT Jamshedpur a premier technical institute;NIT Jamshedpur is known for academic excellence innovative research and high quality graduates;Vision
What is the mission of NIT Jamshedpur;NIT Jamshedpur aims to build conducive learning environment train technically competent and socially responsible professionals and develop innovative products and technologies for society;Mission
How does NIT Jamshedpur support innovation;NIT Jamshedpur develops innovative products and technologies for the betterment of society;Mission
How does NIT Jamshedpur train students to be socially responsible;NIT Jamshedpur trains students to be technically competent professionals and socially responsible citizens;Mission
Why is NIT Jamshedpur historically important;NIT Jamshedpur was among the first eight Regional Engineering Colleges and was the only REC named RIT in India;History
Who inaugurated NIT Jamshedpur formally;NIT Jamshedpur was formally inaugurated by Dr Srikrishna Sinha on 15th August 1960;History
What was the first lecture at NIT Jamshedpur;The first lecture was delivered by the founder Principal Dr R P Verma in Humanities;History
How many acres of land does NIT Jamshedpur cover;NIT Jamshedpur campus covers 3413 acres of rolling wooded land;Campus
How does NIT Jamshedpur provide quality education;NIT Jamshedpur offers well structured courses as per the needs of society and industries;Academics
What makes the location of NIT Jamshedpur strategic;NIT Jamshedpur is far from city noise but close enough to access city facilities and industries;Campus
How many students does NIT Jamshedpur have;NIT Jamshedpur has approximately 4000 students;Academics
How many faculty members are at NIT Jamshedpur;NIT Jamshedpur has around 200 faculty members;Academics
Who is the chairman of NIT Jamshedpur;The chairman of NIT Jamshedpur is Shri Sunil Alagh;Administration
Who is the director and ex officio member of NIT Jamshedpur;The director and ex officio member of NIT Jamshedpur is Prof Goutam Sutradhar;Administration
Who represents MoE GoI as JS and FA at NIT Jamshedpur;Sh Sanjog Kapoor represents MoE GoI as JS and FA at NIT Jamshedpur;Administration
Who is the J S NIT MoE GoI member at NIT Jamshedpur;Ms Saumya Gupta is the J S NIT MoE GoI member at NIT Jamshedpur;Administration
Who is the nominee of the state government at NIT Jamshedpur;Sh Sunil Kumar is the director of DHTE and SD Govt of Jharkhand and the state government nominee at NIT Jamshedpur;Administration
Who is the director of BIT Sindri and member at NIT Jamshedpur;Prof Pankaj Rai is the director of BIT Sindri Dhanbad Rd Sindri Jharkhand and a member at NIT Jamshedpur;Administration
Who is the member representing IIT Patna at NIT Jamshedpur;Prof TN Singh is the member representing Indian Institute of Technology Patna at NIT Jamshedpur;Administration
Who is the senate nominee and professor in electrical engineering at NIT Jamshedpur;Prof Rabindra Nath Mahanty is the senate nominee and professor in the Department of Electrical Engineering at NIT Jamshedpur;Faculty
Who is the assistant professor in mechanical engineering and senate nominee at NIT Jamshedpur;Dr Dulari Hansdah is the assistant professor in the Department of Mechanical Engineering and a senate nominee at NIT Jamshedpur;Faculty
Who is the secretary and registrar of NIT Jamshedpur;Col Dr Nisheeth Kumar Rai Retd is the secretary and registrar of NIT Jamshedpur;Administration
Who are the members of NIT Jamshedpur governing body;The members of NIT Jamshedpur governing body include Shri Sunil Alagh Prof Goutam Sutradhar Sh Sanjog Kapoor Ms Saumya Gupta Sh Sunil Kumar Prof Pankaj Rai Prof TN Singh;Administration
Who are the faculty senate nominees at NIT Jamshedpur;The faculty senate nominees at NIT Jamshedpur include Prof Rabindra Nath Mahanty and Dr Dulari Hansdah;Faculty
Who holds administrative posts at NIT Jamshedpur;Administrative posts at NIT Jamshedpur are held by Shri Sunil Alagh Sh Sanjog Kapoor Ms Saumya Gupta Sh Sunil Kumar Prof Pankaj Rai and Col Dr Nisheeth Kumar Rai Retd;Administration
Who are the directors associated with NIT Jamshedpur;Directors associated with NIT Jamshedpur include Prof Goutam Sutradhar Prof Pankaj Rai and Prof TN Singh;Administration
Who is responsible for registrar and secretary role at NIT Jamshedpur;Col Dr Nisheeth Kumar Rai Retd is responsible for registrar and secretary role at NIT Jamshedpur;Administration
Who is the chairman of NIT Jamshedpur;The chairman of NIT Jamshedpur is Shri Sunil Alagh;Administration
Who is the director and ex officio member of NIT Jamshedpur;The director and ex officio member of NIT Jamshedpur is Prof Goutam Sutradhar;Administration
Who is the JS NIT MoE GoI member at NIT Jamshedpur;Ms Saumya Gupta is the J S NIT MoE GoI member at NIT Jamshedpur;Administration
Who is the JS and FA MoE GoI member at NIT Jamshedpur;Sh Sanjog Kapoor is the JS and FA MoE GoI member at NIT Jamshedpur;Administration
Who is the BOG representative and director of BIT Sindri at NIT Jamshedpur;Prof Pankaj Rai is the BOG representative and director of BIT Sindri at NIT Jamshedpur;Administration
Who is the registrar and member secretary of NIT Jamshedpur;Col Dr Nisheeth Kumar Rai Retd is the registrar and member secretary of NIT Jamshedpur;Administration
Who are the members of NIT Jamshedpur governing body;The members of NIT Jamshedpur governing body include Shri Sunil Alagh Prof Goutam Sutradhar Ms Saumya Gupta Sh Sanjog Kapoor Prof Pankaj Rai and Col Dr Nisheeth Kumar Rai Retd;Administration
Who holds administrative posts in NIT Jamshedpur;Administrative posts at NIT Jamshedpur are held by Shri Sunil Alagh Prof Goutam Sutradhar Ms Saumya Gupta Sh Sanjog Kapoor Prof Pankaj Rai and Col Dr Nisheeth Kumar Rai Retd;Administration
Who is the chairman of the academic council of NIT Jamshedpur;Prof Goutam Sutradhar is the chairman of the academic council of NIT Jamshedpur;AcademicCouncil
Who is Prof Goutam Sutradhar;Prof Goutam Sutradhar is the director of NIT Jamshedpur and the chairman of the academic council;AcademicCouncil
What is the email of Prof Goutam Sutradhar;The email of Prof Goutam Sutradhar is director@nitjsr.ac.in;AcademicCouncil
Who is Prof B N Singh;Prof B N Singh from IIT Kharagpur is a member of the academic council of NIT Jamshedpur;AcademicCouncil
Who is Prof Mousami Roy;Prof Mousami Roy from NIT Durgapur is a member of the academic council of NIT Jamshedpur;AcademicCouncil
Who is Prof N C Shivaprakash;Prof N C Shivaprakash from IISc Bangalore is a member of the academic council of NIT Jamshedpur;AcademicCouncil
What is the email of Prof N C Shivaprakash;The email of Prof N C Shivaprakash is shiv@iisc.ac.in;AcademicCouncil
Who are the internal members of the academic council of NIT Jamshedpur;The internal members include Prof Shalendra Kumar Prof A K L Srivastava Prof Amaresh Kumar Prof Anil Kumar Choudhary Prof Danish Ali Khan Prof Dilip Kumar Yadav Prof Hira Lal Yadav Prof Mrityunjay Kumar Sinha Prof Niranjan Kumar Prof Prabha Chand Prof R N Mahanty Prof R V Sharma Prof Sanjay Prof U Laha;AcademicCouncil
Who is Prof A K L Srivastava;Prof A K L Srivastava is an internal member of the academic council and his email is aklsriv.ce@nitjsr.ac.in;AcademicCouncil
Who is Prof Amaresh Kumar;Prof Amaresh Kumar is an internal member of the academic council and his email is akumar.prod@nitjsr.ac.in;AcademicCouncil
Who is Prof Anil Kumar Choudhary;Prof Anil Kumar Choudhary is an internal member of the academic council and his email is akchoudhary.ce@nitjsr.ac.in;AcademicCouncil
Who is Prof Danish Ali Khan;Prof Danish Ali Khan is an internal member of the academic council and his email is dakhan.ca@nitjsr.ac.in;AcademicCouncil
Who is Prof Dilip Kumar Yadav;Prof Dilip Kumar Yadav is an internal member of the academic council and his email is dkyadav.ca@nitjsr.ac.in;AcademicCouncil
Who is Prof Hira Lal Yadav;Prof Hira Lal Yadav is an internal member of the academic council and his email is hlyadav.phy@nitjsr.ac.in;AcademicCouncil
Who is Prof Mrityunjay Kumar Sinha;Prof Mrityunjay Kumar Sinha is an internal member of the academic council and his email is mksinha.me@nitjsr.ac.in;AcademicCouncil
Who is Prof Niranjan Kumar;Prof Niranjan Kumar is an internal member of the academic council and his email is niranjan.me@nitjsr.ac.in;AcademicCouncil
Who is Prof Prabha Chand;Prof Prabha Chand is an internal member of the academic council and his email is pchand.me@nitjsr.ac.in;AcademicCouncil
Who is Prof R N Mahanty;Prof R N Mahanty is an internal member of the academic council and his email is rnmahanty.ee@nitjsr.ac.in;AcademicCouncil
Who is Prof R V Sharma;Prof R V Sharma is an internal member of the academic council and his email is rvsharma.me@nitjsr.ac.in;AcademicCouncil
Who is Prof Sanjay;Prof Sanjay is an internal member of the academic council and his email is sanjay.me@nitjsr.ac.in;AcademicCouncil
Who is Prof U Laha;Prof U Laha is an internal member of the academic council and his email is sanjay.me@nitjsr.ac.in;AcademicCouncil
Who are the other members of the academic council of NIT Jamshedpur;The other members include Prof Virendra Kumar Prof Umesh Kumar Sinha Prof Krishna Bihari Yadav Prof Ramayan Singh Prof Ashok Kumar Prof Satish Kumar Prof Shashi Bhushan Prasad Prof Raj Ballav and Prof Saroj Kumar Sarangi;AcademicCouncil
Who is the secretary of the academic council of NIT Jamshedpur;Col Dr Nisheeth Kumar Rai Retd is the secretary of the academic council of NIT Jamshedpur;AcademicCouncil
What is the email of the secretary of the academic council;The email of the secretary Col Dr Nisheeth Kumar Rai Retd is regsitrar@nitjsr.ac.in;AcademicCouncil
Who are the main authorities in the academic council of NIT Jamshedpur;The main authorities include Prof Goutam Sutradhar as chairman and Col Dr Nisheeth Kumar Rai Retd as secretary with multiple professors as members;AcademicCouncil
How to reach NIT Jamshedpur;You can reach NIT Jamshedpur by air train or road through Jamshedpur city which is well connected to major cities;Transport
Where is NIT Jamshedpur located;NIT Jamshedpur is located in Adityapur town of East Singhbhum district Jharkhand;Transport
What is Jamshedpur famous for;Jamshedpur is known as the first planned industrial city of India founded by Jamshedji Nusserwanji Tata;Transport
Which rivers are near Jamshedpur;Jamshedpur is surrounded by Subarnarekha river in the north and Kharkai river in the west;Transport
Which airport is nearest to Jamshedpur;Birsa Munda Airport Ranchi is the nearest airport to Jamshedpur about 140 kilometers away;Transport
How far is Ranchi airport from NIT Jamshedpur;Birsa Munda Airport Ranchi is around 140 kilometers away from Jamshedpur plus about 15 kilometers more to reach the campus;Transport
Is there a direct bus from Ranchi to Jamshedpur;Yes many bus services operate between Ranchi and Jamshedpur daily;Transport
Is there train connectivity between Ranchi and Jamshedpur;Yes Ranchi and Jamshedpur are connected by rail with a distance of about 167 kilometers;Transport
Which airport in Kolkata connects to Jamshedpur;Netaji Subhash Chandra Bose International Airport in Kolkata connects to Jamshedpur;Transport
How far is Kolkata from Jamshedpur;Kolkata is about 260 kilometers away from Jamshedpur;Transport
How long does train from Kolkata to Jamshedpur take;Train travel from Kolkata to Jamshedpur takes around four to five hours;Transport
How long does road travel from Kolkata to Jamshedpur take;It takes about six hours by road from Kolkata to Jamshedpur;Transport
Which is the main railway station in Jamshedpur;Tatanagar Junction is the main railway station in Jamshedpur;Transport
Is Tatanagar Junction an important station;Yes Tatanagar Junction is a major railway station and a model junction on the South Eastern Railway;Transport
Which cities are connected to Jamshedpur by train;Jamshedpur is connected by rail to Kolkata Mumbai Delhi Chennai Bangalore Ahmedabad Patna Ranchi Pune and many others;Transport
How far is Tatanagar from Kharagpur;Tatanagar Junction is about 135 kilometers from Kharagpur by train;Transport
How far is Tatanagar from Howrah;Tatanagar Junction is about 250 kilometers from Howrah by train;Transport
Which highways connect Jamshedpur;National Highway 33 and National Highway 32 connect Jamshedpur to other major cities;Transport
What does NH33 connect;National Highway 33 connects Jamshedpur to NH32 and joins the route between Kolkata and Delhi;Transport
What does NH32 connect;National Highway 32 connects Jamshedpur to Govindpur via Dhanbad;Transport
How far is NIT Jamshedpur from Tatanagar railway station;NIT Jamshedpur is about 8 and half kilometers from Tatanagar railway station;Transport
How far is NIT Jamshedpur from the main bus stand;NIT Jamshedpur is about 9 and half kilometers from Jamshedpur main bus stand at Mango;Transport
How far is NIT Jamshedpur from Adityapur railway station;NIT Jamshedpur is about 2 kilometers from Adityapur railway station;Transport
Should travelers get down at Adityapur or Tatanagar;If the train stops at Adityapur station it is better to get down there as it is closer to the institute;Transport
How much is the auto fare from Adityapur station to NIT Jamshedpur;The fare from Adityapur station to NIT Jamshedpur is about sixty rupees;Transport
Is local transport available from Tatanagar and Mango to NIT Jamshedpur;Yes frequent local transport and autos are available from Tatanagar Mango and other city areas;Transport
Which route should be followed from Tatanagar to NIT Jamshedpur;From Tatanagar go to Bistupur then to Adityapur and get down near All India Radio Building;Transport
What is the alternative route to NIT Jamshedpur;You can also reach via NIT More from Adityapur Kandra main road which is slightly longer;Transport
What is the auto fare from the main railway station to NIT Jamshedpur;The reserved auto fare from the main railway station to NIT Jamshedpur is around one hundred fifty rupees;Transport
Is it better to reserve an auto to NIT Jamshedpur;Yes it is better to reserve an auto if you are visiting for the first time;Transport
Are there buses from Jamshedpur to Ranchi;Yes regular buses run from Jamshedpur to Ranchi covering about one hundred thirty one kilometers;Transport
Is Jamshedpur connected to Kolkata by bus;Yes but road travel to Kolkata is not recommended as train travel is faster and safer;Transport
Which other cities have bus routes from Jamshedpur;Jamshedpur has bus routes to Ranchi Patna Gaya Puri Bhubaneshwar Asansol Bokaro and Dhanbad;Transport
what is nit jamshedpur;nit jamshedpur is a prestigious institute of higher learning producing meritorious students with excellent career growth and universal recognition;Campus  
what opportunities do students get at nit jamshedpur;students get highly advanced courses and eminent faculty members;Campus  
what is the institute committed to;nit jamshedpur is committed to academic excellence and good governance;Campus  
what rank did nit jamshedpur get in nirf for 2015 to 2016;nit jamshedpur was ranked seventy eighth for 2015 to 2016;Campus  
what rank did nit jamshedpur get in nirf for 2020;nit jamshedpur was ranked seventy ninth in 2020;Campus  
what rank did nit jamshedpur get in nirf for 2021;nit jamshedpur was ranked eighty sixth in 2021;Campus  
what rank did nit jamshedpur get in nirf for 2022;nit jamshedpur was ranked ninetieth in 2022;Campus  
who releases the nirf ranking for nit jamshedpur;the nirf ranking is released by the ministry of education government of india;Campus  
how many departments are there in nit jamshedpur;there are eleven departments in nit jamshedpur;Campus  
how many undergraduate programs does nit jamshedpur offer;nit jamshedpur offers eight undergraduate programs;Campus  
how many postgraduate programs does nit jamshedpur offer;nit jamshedpur offers twenty three postgraduate programs;Campus  
does nit jamshedpur offer phd programs;yes nit jamshedpur offers phd programs;Campus
how many undergraduate programs are offered at nit jamshedpur;there are eight undergraduate programs at nit jamshedpur;Academics  
which undergraduate programs are offered at nit jamshedpur;the undergraduate programs offered are mechanical engineering electrical engineering metallurgical and material engineering production and industrial engineering electronics and communication engineering civil engineering computer science and engineering and engineering and computational mechanics;Academics  
is mechanical engineering offered as a ug program at nit jamshedpur;yes mechanical engineering is offered as an undergraduate program;Academics  
is electrical engineering available as a ug program at nit jamshedpur;yes electrical engineering is available as an undergraduate program;Academics  
can i study metallurgical and material engineering as a ug at nit jamshedpur;yes metallurgical and material engineering is offered as a ug program;Academics  
is production and industrial engineering part of ug courses at nit jamshedpur;yes production and industrial engineering is offered as a ug program;Academics  
is electronics and communication engineering offered at nit jamshedpur as a ug;yes electronics and communication engineering is offered as a ug program;Academics  
can i take civil engineering as a ug course at nit jamshedpur;yes civil engineering is offered as a ug program;Academics  
is computer science and engineering included in ug programs at nit jamshedpur;yes computer science and engineering is included in ug programs;Academics  
is engineering and computational mechanics offered for ug at nit jamshedpur;yes engineering and computational mechanics is offered as a ug program;Academics
how many postgraduate programs are offered at nit jamshedpur;there are twenty one postgraduate programs at nit jamshedpur;Academics  
which postgraduate programs are offered at nit jamshedpur;the postgraduate programs offered are geotechnical engineering structural engineering water resources engineering corrosion science and coating technology computer science and engineering information systems security engineering communication system engineering vlsi and embedded systems engineering power electronics and drives power system engineering energy system engineering thermal engineering machine design defense technology combat vehicle engineering industrial metallurgy materials technology smart manufacturing operations and supply chain management data science and engineering master of science in mathematics master of science in chemistry master of computer application master of science in physics;Academics  
is geotechnical engineering offered as a pg program at nit jamshedpur;yes geotechnical engineering is offered as a postgraduate program;Academics  
is structural engineering available as a pg program at nit jamshedpur;yes structural engineering is available as a postgraduate program;Academics  
can i study water resources engineering as a pg at nit jamshedpur;yes water resources engineering is offered as a pg program;Academics  
is corrosion science and coating technology part of pg courses at nit jamshedpur;yes corrosion science and coating technology is offered as a pg program;Academics  
is computer science and engineering offered as a pg program at nit jamshedpur;yes computer science and engineering is offered as a pg program;Academics  
is information systems security engineering included in pg programs at nit jamshedpur;yes information systems security engineering is included in pg programs;Academics  
is communication system engineering offered at nit jamshedpur as a pg;yes communication system engineering is offered as a pg program;Academics  
can i take vlsi and embedded systems engineering as a pg course at nit jamshedpur;yes vlsi and embedded systems engineering is offered as a pg program;Academics  
is power electronics and drives offered as a pg program at nit jamshedpur;yes power electronics and drives is offered as a pg program;Academics  
is power system engineering included in pg programs at nit jamshedpur;yes power system engineering is included in pg programs;Academics  
is energy system engineering offered at nit jamshedpur as a pg;yes energy system engineering is offered as a pg program;Academics  
can i study thermal engineering as a pg course at nit jamshedpur;yes thermal engineering is offered as a pg program;Academics  
is machine design offered as a pg program at nit jamshedpur;yes machine design is offered as a pg program;Academics  
is defense technology combat vehicle engineering available as a pg program at nit jamshedpur;yes defense technology combat vehicle engineering is offered as a pg program;Academics  
is industrial metallurgy offered as a pg program at nit jamshedpur;yes industrial metallurgy is offered as a pg program;Academics  
is materials technology included in pg programs at nit jamshedpur;yes materials technology is included in pg programs;Academics  
is smart manufacturing offered as a pg program at nit jamshedpur;yes smart manufacturing is offered as a pg program;Academics  
is operations and supply chain management available as a pg program at nit jamshedpur;yes operations and supply chain management is offered as a pg program;Academics  
is data science and engineering offered as a pg program at nit jamshedpur;yes data science and engineering is offered as a pg program;Academics  
is master of science in mathematics available as a pg program at nit jamshedpur;yes master of science in mathematics is offered as a pg program;Academics  
is master of science in chemistry included in pg programs at nit jamshedpur;yes master of science in chemistry is included in pg programs;Academics  
is master of computer application offered as a pg program at nit jamshedpur;yes master of computer application is offered as a pg program;Academics  
is master of science in physics available as a pg program at nit jamshedpur;yes master of science in physics is offered as a pg program;Academics
what is the official email of superintendent academic at nit jamshedpur;sup.ac@nitjsr.ac.in is the official email of superintendent academic;AcademicMail  
what is the email for fee remission and fee demand queries;ministerial1.ac@nitjsr.ac.in is the email for fee remission and fee demand queries;AcademicMail  
which email should i contact for examination result or certificate verification;ministerial2.ac@nitjsr.ac.in is the email for examination result issuance and verification of certificates and transcript;AcademicMail  
what is the email for withdrawal phd cases or duplicate degree queries;ministerial3.ac@nitjsr.ac.in is the email for withdrawal phd cases and duplicate degree;AcademicMail  
which email can be used for caution money or stipend related queries;ministerial4.ac@nitjsr.ac.in is the email for caution money and stipend related queries;AcademicMail  
how can i contact the academic superintendent;contact the academic superintendent using sup.ac@nitjsr.ac.in;AcademicMail  
who should i email for fee remission issues;email ministerial1.ac@nitjsr.ac.in for fee remission issues;AcademicMail  
who should i contact for getting my results or certificates;email ministerial2.ac@nitjsr.ac.in for results or certificate verification;AcademicMail  
which email is used for phd withdrawal requests;email ministerial3.ac@nitjsr.ac.in for phd withdrawal requests;AcademicMail  
who can i contact for stipend related queries;email ministerial4.ac@nitjsr.ac.in for stipend queries;AcademicMail
what is the admission policy at nit jamshedpur;the institute follows mhrd government of india guidelines for admission to all academic programmes;Admission  
how are ug students admitted at nit jamshedpur;admission to undergraduate programmes is based on class 12 performance and jee main score;UG  
who allocates seats for undergraduate programmes at nit jamshedpur;the seats for undergraduate programmes are allocated by josaa or csab through common counseling process;UG  
